Journal title,ISSN,eISSN,Publisher name,Publisher address,Languages,Web of Science Categories
INTERNET INTERVENTIONS-THE APPLICATION OF INFORMATION TECHNOLOGY IN MENTAL AND BEHAVIOURAL HEALTH,2214-7829,2214-7829,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Clinical"
I-PERCEPTION,2041-6695,2041-6695,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Experimental"
JAPANESE PSYCHOLOGICAL RESEARCH,0021-5368,1468-5884,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",Multi-Language,"Psychology, Multidisciplinary"
JOURNAL FOR THE STUDY OF EDUCATION AND DEVELOPMENT,0210-3702,1578-4126,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",Multi-Language,"Psychology, Developmental | Psychology, Educational"
JOURNAL FOR THE THEORY OF SOCIAL BEHAVIOUR,0021-8308,1468-5914,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social"
JOURNAL OF ABNORMAL CHILD PSYCHOLOGY,0091-0627,1573-2835,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical | Psychology, Developmental"
JOURNAL OF ABNORMAL PSYCHOLOGY,0021-843X,1939-1846,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical | Psychiatry"
JOURNAL OF ADOLESCENCE,0140-1971,1095-9254,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX",English,"Psychology, Developmental"
JOURNAL OF ADOLESCENT HEALTH,1054-139X,1879-1972,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Public, Environmental & Occupational Health | Psychology, Developmental"
JOURNAL OF ADOLESCENT RESEARCH,0743-5584,1552-6895,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Developmental"
JOURNAL OF ADULT DEVELOPMENT,1068-0667,1573-3440,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Developmental"
JOURNAL OF AGGRESSION MALTREATMENT & TRAUMA,1092-6771,1545-083X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Family Studies | Psychiatry | Criminology & Penology"
JOURNAL OF ANXIETY DISORDERS,0887-6185,1873-7897,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Clinical | Psychiatry"
JOURNAL OF APPLIED BEHAVIORAL SCIENCE,0021-8863,1552-6879,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Management | Psychology, Applied"
JOURNAL OF APPLIED BEHAVIOR ANALYSIS,0021-8855,1938-3703,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical"
JOURNAL OF APPLIED DEVELOPMENTAL PSYCHOLOGY,0193-3973,1873-7900,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Developmental"
JOURNAL OF APPLIED PSYCHOLOGY,0021-9010,1939-1854,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Applied | Management"
JOURNAL OF APPLIED RESEARCH IN INTELLECTUAL DISABILITIES,1360-2322,1468-3148,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Rehabilitation | Psychology, Educational"
JOURNAL OF APPLIED RESEARCH IN MEMORY AND COGNITION,2211-3681,2211-369X,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Experimental"
JOURNAL OF APPLIED SOCIAL PSYCHOLOGY,0021-9029,1559-1816,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social"
JOURNAL OF APPLIED SPORT PSYCHOLOGY,1041-3200,1533-1571,TAYLOR & FRANCIS LTD,"2-4 PARK SQUARE, MILTON PARK, ABINGDON, England, OXON, OX14 4RN",English,"Hospitality, Leisure, Sport & Tourism | Psychology, Applied"
JOURNAL OF ATTENTION DISORDERS,1087-0547,1557-1246,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychiatry | Psychology, Developmental"
JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS,0162-3257,1573-3432,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Developmental"
JOURNAL OF BEHAVIORAL DECISION MAKING,0894-3257,1099-0771,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied"
JOURNAL OF BEHAVIORAL MEDICINE,0160-7715,1573-3521,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical"
JOURNAL OF BEHAVIOR THERAPY AND EXPERIMENTAL PSYCHIATRY,0005-7916,1873-7943,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Psychology, Clinical | Psychiatry"
JOURNAL OF BLACK PSYCHOLOGY,0095-7984,1552-4558,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary"
JOURNAL OF BUSINESS AND PSYCHOLOGY,0889-3268,1573-353X,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Business | Psychology, Applied"
JOURNAL OF CAREER ASSESSMENT,1069-0727,1552-4590,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Applied"
JOURNAL OF CAREER DEVELOPMENT,0894-8453,1556-0856,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Applied"
JOURNAL OF CHILD AND FAMILY STUDIES,1062-1024,1573-2843,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Developmental | Family Studies | Psychiatry"
JOURNAL OF CHILD LANGUAGE,0305-0009,1469-7602,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychology, Developmental | Linguistics | Psychology, Experimental"
JOURNAL OF CHILD PSYCHOLOGY AND PSYCHIATRY,0021-9630,1469-7610,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychiatry | Psychology, Developmental"
JOURNAL OF CHILD SEXUAL ABUSE,1053-8712,1547-0679,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Family Studies"
JOURNAL OF CLASSIFICATION,0176-4268,1432-1343,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Mathematical"
JOURNAL OF CLINICAL AND EXPERIMENTAL NEUROPSYCHOLOGY,1380-3395,1744-411X,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Clinical"
JOURNAL OF CLINICAL CHILD AND ADOLESCENT PSYCHOLOGY,1537-4416,1537-4424,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental | Psychology, Clinical"
JOURNAL OF CLINICAL PSYCHIATRY,0160-6689,1555-2101,PHYSICIANS POSTGRADUATE PRESS,"P O BOX 752870, MEMPHIS, USA, TN, 38175-2870",English,"Psychiatry | Psychology, Clinical"
JOURNAL OF CLINICAL PSYCHOLOGY,0021-9762,1097-4679,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical"
JOURNAL OF CLINICAL PSYCHOLOGY IN MEDICAL SETTINGS,1068-9583,1573-3572,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical"
JOURNAL OF CLINICAL SPORT PSYCHOLOGY,1932-9261,1932-927X,HUMAN KINETICS PUBL INC,"1607 N MARKET ST, PO BOX 5076, CHAMPAIGN, USA, IL, 61820-2200",English,"Psychology, Applied"
JOURNAL OF COGNITION AND DEVELOPMENT,1524-8372,1532-7647,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental | Psychology, Experimental"
JOURNAL OF COGNITIVE NEUROSCIENCE,0898-929X,1530-8898,MIT PRESS,"ONE ROGERS ST, CAMBRIDGE, USA, MA, 02142-1209",English,"Psychology, Experimental"
JOURNAL OF COGNITIVE PSYCHOLOGY,2044-5911,2044-592X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental"
JOURNAL OF COGNITIVE PSYCHOTHERAPY,0889-8391,1938-887X,SPRINGER PUBLISHING CO,"11 WEST 42ND STREET, NEW YORK, USA, NY, 10036",English,"Psychology, Clinical"
JOURNAL OF COLLEGE STUDENT DEVELOPMENT,0897-5264,1543-3382,JOHNS HOPKINS UNIV PRESS,"JOURNALS PUBLISHING DIVISION, 2715 NORTH CHARLES ST, BALTIMORE, USA, MD, 21218-4363",English,"Education & Educational Research | Psychology, Applied"
JOURNAL OF COMMUNITY & APPLIED SOCIAL PSYCHOLOGY,1052-9284,1099-1298,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social"
JOURNAL OF COMMUNITY PSYCHOLOGY,0090-4392,1520-6629,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Multidisciplinary | Social Work | Public, Environmental & Occupational Health"
JOURNAL OF COMPARATIVE PSYCHOLOGY,0735-7036,1939-2087,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary"
JOURNAL OF CONSTRUCTIVIST PSYCHOLOGY,1072-0537,1521-0650,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Clinical"
JOURNAL OF CONSULTING AND CLINICAL PSYCHOLOGY,0022-006X,1939-2117,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical"
JOURNAL OF CONSUMER PSYCHOLOGY,1057-7408,1532-7663,JOHN WILEY & SONS LTD,"THE ATRIUM, SOUTHERN GATE, CHICHESTER, ENGLAND, W SUSSEX, PO19 8SQ",English,"Business | Psychology, Applied"
JOURNAL OF CONTEXTUAL BEHAVIORAL SCIENCE,2212-1447,2212-1455,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",English,"Psychology, Clinical"
JOURNAL OF COUNSELING AND DEVELOPMENT,0748-9633,1556-6676,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied"
JOURNAL OF COUNSELING PSYCHOLOGY,0022-0167,1939-2168,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Educational | Psychology, Applied"
JOURNAL OF CREATIVE BEHAVIOR,0022-0175,2162-6057,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Educational"
JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,0022-0221,1552-5422,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Social"
JOURNAL OF DEVELOPMENTAL AND BEHAVIORAL PEDIATRICS,0196-206X,1536-7312,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103",English,"Psychology, Developmental"
JOURNAL OF DEVELOPMENTAL AND PHYSICAL DISABILITIES,1056-263X,1573-3580,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Developmental | Rehabilitation | Education, Special"
JOURNAL OF DIVERSITY IN HIGHER EDUCATION,1938-8926,1938-8934,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Educational | Education & Educational Research | Psychology, Social"
JOURNAL OF DUAL DIAGNOSIS,1550-4263,1550-4271,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Clinical | Substance Abuse | Psychiatry"
JOURNAL OF EARLY ADOLESCENCE,0272-4316,1552-5449,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Developmental | Family Studies"
JOURNAL OF EARLY INTERVENTION,1053-8151,2154-3992,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Rehabilitation | Psychology, Educational | Education, Special"
JOURNAL OF EATING DISORDERS,2050-2974,2050-2974,BMC,"CAMPUS, 4 CRINAN ST, LONDON, ENGLAND, N1 9XW",English,"Psychology, Clinical"
JOURNAL OF ECONOMIC PSYCHOLOGY,0167-4870,1872-7719,ELSEVIER,"RADARWEG 29, AMSTERDAM, NETHERLANDS, 1043 NX",Multi-Language,"Psychology, Multidisciplinary | Economics"
JOURNAL OF EDUCATIONAL AND BEHAVIORAL STATISTICS,1076-9986,1935-1054,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Mathematical | Education & Educational Research | Social Sciences, Mathematical Methods"
JOURNAL OF EDUCATIONAL AND PSYCHOLOGICAL CONSULTATION,1047-4412,1532-768X,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Educational"
JOURNAL OF EDUCATIONAL MEASUREMENT,0022-0655,1745-3984,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Educational | Psychology, Mathematical | Psychology, Applied"
JOURNAL OF EDUCATIONAL PSYCHOLOGY,0022-0663,1939-2176,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Educational"
JOURNAL OF EMOTIONAL AND BEHAVIORAL DISORDERS,1063-4266,1538-4799,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary | Psychology, Educational | Education, Special"
JOURNAL OF EMPLOYMENT COUNSELING,0022-0787,2161-1920,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied"
JOURNAL OF ENVIRONMENTAL PSYCHOLOGY,0272-4944,1522-9610,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,"24-28 OVAL RD, LONDON, ENGLAND, NW1 7DX",English,"Environmental Studies | Psychology, Multidisciplinary"
JOURNAL OF EVIDENCE-BASED PSYCHOTHERAPIES,2360-0853,NA,INT INST ADVANCED STUDIES PSYCHOTHERAPY & APPLIED MENTAL HEALTH,"NO 37 , REPUBLICII STR, CLUJ-NAPOCA, CLUJ, ROMANIA, 00000",English,"Psychology, Clinical"
JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY,0022-0965,1096-0457,ELSEVIER SCIENCE INC,"STE 800, 230 PARK AVE, NEW YORK, USA, NY, 10169",English,"Psychology, Developmental | Psychology, Experimental"
JOURNAL OF EXPERIMENTAL EDUCATION,0022-0973,1940-0683,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Educational | Education & Educational Research"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-ANIMAL LEARNING AND COGNITION,2329-8456,2329-8464,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Biological | Psychology, Experimental"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-APPLIED,1076-898X,1939-2192,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Applied"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-GENERAL,0096-3445,1939-2222,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Experimental"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-HUMAN PERCEPTION AND PERFORMANCE,0096-1523,1939-1277,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Experimental"
JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION,0278-7393,1939-1285,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Experimental"
JOURNAL OF EXPERIMENTAL PSYCHOPATHOLOGY,2043-8087,2043-8087,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Clinical | Psychiatry"
JOURNAL OF EXPERIMENTAL SOCIAL PSYCHOLOGY,0022-1031,1096-0465,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Social"
JOURNAL OF FAMILY PSYCHOLOGY,0893-3200,1939-1293,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Clinical | Family Studies"
JOURNAL OF FAMILY THERAPY,0163-4445,1467-6427,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical | Family Studies"
JOURNAL OF FAMILY VIOLENCE,0885-7482,1573-2851,SPRINGER/PLENUM PUBLISHERS,"233 SPRING ST, NEW YORK, USA, NY, 10013",English,"Psychology, Clinical | Family Studies"
JOURNAL OF FORENSIC PSYCHOLOGY RESEARCH AND PRACTICE,2473-2850,2473-2842,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",NA,"Psychology, Multidisciplinary | Criminology & Penology"
JOURNAL OF GAMBLING STUDIES,1050-5350,1573-3602,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Multidisciplinary | Substance Abuse"
JOURNAL OF GENERAL PSYCHOLOGY,0022-1309,1940-0888,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary"
JOURNAL OF GENETIC PSYCHOLOGY,0022-1325,1940-0896,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Developmental | Psychology, Multidisciplinary"
JOURNAL OF HAPPINESS STUDIES,1389-4978,1573-7780,SPRINGER,"VAN GODEWIJCKSTRAAT 30, DORDRECHT, NETHERLANDS, 3311 GZ",English,"Psychology, Multidisciplinary | Social Sciences, Interdisciplinary"
JOURNAL OF HEALTH AND SOCIAL BEHAVIOR,0022-1465,2150-6000,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Sociology | Psychology, Social | Public, Environmental & Occupational Health | Social Sciences, Biomedical"
JOURNAL OF HEALTH PSYCHOLOGY,1359-1053,1461-7277,SAGE PUBLICATIONS LTD,"1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP",English,"Psychology, Clinical"
JOURNAL OF HOMOSEXUALITY,0091-8369,1540-3602,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Multidisciplinary | Social Sciences, Interdisciplinary"
JOURNAL OF HUMANISTIC PSYCHOLOGY,0022-1678,1552-650X,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Multidisciplinary"
JOURNAL OF INDIVIDUAL DIFFERENCES,1614-0001,2151-2299,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",English,"Psychology, Social"
JOURNAL OF INTERPERSONAL VIOLENCE,0886-2605,1552-6518,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Family Studies | Psychology, Applied | Criminology & Penology"
JOURNAL OF INVESTIGATIVE PSYCHOLOGY AND OFFENDER PROFILING,1544-4759,1544-4767,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied | Criminology & Penology"
JOURNAL OF LANGUAGE AND SOCIAL PSYCHOLOGY,0261-927X,1552-6526,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Communication | Linguistics | Psychology, Social"
JOURNAL OF LATINX PSYCHOLOGY,2578-8086,2578-8094,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",NA,"Psychology, Multidisciplinary | Psychology, Social | Psychology, Clinical | Psychology, Developmental"
JOURNAL OF LITERACY RESEARCH,1086-296X,1554-8430,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Psychology, Educational | Education & Educational Research"
JOURNAL OF LOSS & TRAUMA,1532-5024,1532-5032,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Social"
JOURNAL OF MANAGEMENT,0149-2063,1557-1211,SAGE PUBLICATIONS INC,"2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320",English,"Business | Psychology, Applied | Management"
JOURNAL OF MANAGERIAL PSYCHOLOGY,0268-3946,1758-7778,EMERALD GROUP PUBLISHING LTD,"HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA",English,"Management | Psychology, Applied"
JOURNAL OF MARITAL AND FAMILY THERAPY,0194-472X,1752-0606,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Clinical | Family Studies"
JOURNAL OF MATHEMATICAL PSYCHOLOGY,0022-2496,1096-0880,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Psychology, Mathematical | Social Sciences, Mathematical Methods"
JOURNAL OF MEDIA PSYCHOLOGY-THEORIES METHODS AND APPLICATIONS,1864-1105,2151-2388,HOGREFE & HUBER PUBLISHERS,"MERKELSTR 3, GOTTINGEN, GERMANY, D-37085",English,"Communication | Psychology, Multidisciplinary"
JOURNAL OF MEMORY AND LANGUAGE,0749-596X,1096-0821,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, USA, CA, 92101-4495",English,"Linguistics | Psychology, Experimental"
JOURNAL OF MENTAL HEALTH,0963-8237,1360-0567,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, USA, PA, 19106",English,"Psychology, Clinical"
JOURNAL OF MOTOR BEHAVIOR,0022-2895,1940-1027,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Psychology, Experimental"
JOURNAL OF MULTICULTURAL COUNSELING AND DEVELOPMENT,0883-8534,2161-1912,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Applied"
JOURNAL OF NEUROLINGUISTICS,0911-6044,NA,PERGAMON-ELSEVIER SCIENCE LTD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD, ENGLAND, OX5 1GB",English,"Linguistics | Psychology, Experimental"
JOURNAL OF NEUROPSYCHOLOGY,1748-6645,1748-6653,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Experimental"
JOURNAL OF NEUROSCIENCE PSYCHOLOGY AND ECONOMICS,1937-321X,2151-318X,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,"750 FIRST ST, NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Multidisciplinary | Economics"
JOURNAL OF NONVERBAL BEHAVIOR,0191-5886,1573-3653,SPRINGER,"ONE NEW YORK PLAZA, SUITE 4600 , NEW YORK, United States, NY, 10004",English,"Psychology, Social"
JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY,0963-1798,2044-8325,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Management | Psychology, Applied"
JOURNAL OF OCCUPATIONAL HEALTH PSYCHOLOGY,1076-8998,1939-1307,AMER PSYCHOLOGICAL ASSOC,"750 FIRST ST NE, WASHINGTON, USA, DC, 20002-4242",English,"Psychology, Applied | Public, Environmental & Occupational Health"
JOURNAL OF ORGANIZATIONAL BEHAVIOR,0894-3796,1099-1379,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Business | Management | Psychology, Applied"
JOURNAL OF ORGANIZATIONAL BEHAVIOR MANAGEMENT,0160-8061,1540-8604,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN",English,"Management | Psychology, Applied"
JOURNAL OF PACIFIC RIM PSYCHOLOGY,1834-4909,1834-4909,CAMBRIDGE UNIV PRESS,"32 AVENUE OF THE AMERICAS, NEW YORK, USA, NY, 10013-2473",English,"Psychology, Multidisciplinary"
JOURNAL OF PEDIATRIC PSYCHOLOGY,0146-8693,1465-735X,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, USA, NC, 27513",English,"Psychology, Developmental"
JOURNAL OF PERSONALITY,0022-3506,1467-6494,WILEY,"111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774",English,"Psychology, Social"
